"topic","rank","probability_term","score_term"
1,1,"sleep","apnea"
1,2,"disord","disord"
1,3,"apnea","insomnia"
1,4,"peopl","sleep"
1,5,"medic","patient"
2,1,"game","inning"
2,2,"hit","game"
2,3,"run","pitcher"
2,4,"pitch","basebal"
2,5,"basebal","pitch"
3,1,"will","funer"
3,2,"saturday","church"
3,3,"friday","saturday"
3,4,"sunday","sunday"
3,5,"church","friday"
4,1,"homeless","homeless"
4,2,"shelter","shelter"
4,3,"peopl","volunt"
4,4,"servic","church"
4,5,"help","servic"
5,1,"store","mattress"
5,2,"mattress","store"
5,3,"bed","bed"
5,4,"shop","retail"
5,5,"buy","shop"
6,1,"anim","cat"
6,2,"cat","anim"
6,3,"human","adopt"
6,4,"adopt","fox"
6,5,"bear","human"
7,1,"school","elementari"
7,2,"high","school"
7,3,"teacher","student"
7,4,"student","teacher"
7,5,"start","teen"
8,1,"counti","jail"
8,2,"jail","counti"
8,3,"prison","prison"
8,4,"sheriff","sheriff"
8,5,"offici","supervisor"
9,1,"babi","infant"
9,2,"infant","babi"
9,3,"parent","parent"
9,4,"mother","birth"
9,5,"birth","pediatr"
10,1,"hotel","inn"
10,2,"room","hotel"
10,3,"guest","guest"
10,4,"inn","room"
10,5,"rate","lodg"
11,1,"room","pillow"
11,2,"can","room"
11,3,"design","space"
11,4,"use","design"
11,5,"space","bedroom"
12,1,"game","rebound"
12,2,"point","game"
12,3,"play","playoff"
12,4,"said","victori"
12,5,"score","score"
13,1,"flight","airlin"
13,2,"travel","flight"
13,3,"airport","airport"
13,4,"plane","plane"
13,5,"airlin","passeng"
14,1,"michael","jackson"
14,2,"brown","michael"
14,3,"jackson","brown"
14,4,"told","vega"
14,5,"gari","las"
15,1,"dream","dream"
15,2,"life","nightmar"
15,3,"one","memori"
15,4,"mind","emot"
15,5,"peopl","mind"
16,1,"music","album"
16,2,"song","music"
16,3,"band","song"
16,4,"perform","band"
16,5,"danc","danc"
17,1,"park","camp"
17,2,"camp","park"
17,3,"summer","tent"
17,4,"tent","summer"
17,5,"day","cabin"
18,1,"dog","dog"
18,2,"pet","pet"
18,3,"owner","owner"
18,4,"home","rescu"
18,5,"put","anim"
19,1,"drink","caffein"
19,2,"alcohol","drink"
19,3,"smoke","alcohol"
19,4,"coffe","smoke"
19,5,"can","coffe"
20,1,"presid","clinton"
20,2,"campaign","democrat"
20,3,"democrat","republican"
20,4,"clinton","senat"
20,5,"vote","campaign"
21,1,"money","stock"
21,2,"fund","fund"
21,3,"stock","invest"
21,4,"year","market"
21,5,"market","tax"
22,1,"king","duck"
22,2,"goal","king"
22,3,"wilson","wilson"
22,4,"ice","goal"
22,5,"brian","ice"
23,1,"street","gang"
23,2,"black","street"
23,3,"peopl","neighborhood"
23,4,"man","black"
23,5,"block","gun"
24,1,"show","chart"
24,2,"news","comput"
24,3,"call","internet"
24,4,"will","network"
24,5,"phone","onlin"
25,1,"won","olymp"
25,2,"world","won"
25,3,"win","win"
25,4,"sport","championship"
25,5,"olymp","athlet"
26,1,"love","dear"
26,2,"will","love"
26,3,"friend","husband"
26,4,"husband","marri"
26,5,"dear","marriag"
27,1,"drug","prescrib"
27,2,"use","drug"
27,3,"medic","pill"
27,4,"effect","patient"
27,5,"treatment","medic"
28,1,"photo","text"
28,2,"illustr","photo"
28,3,"caption","caption"
28,4,"chicago","illustr"
28,5,"color","chicago"
29,1,"film","film"
29,2,"movi","movi"
29,3,"play","actor"
29,4,"star","comedi"
29,5,"show","theater"
30,1,"hous","fire"
30,2,"home","hous"
30,3,"fire","apart"
30,4,"live","home"
30,5,"apart","build"
31,1,"island","boat"
31,2,"water","island"
31,3,"boat","fish"
31,4,"river","sea"
31,5,"fish","river"
32,1,"percent","diabet"
32,2,"studi","percent"
32,3,"risk","studi"
32,4,"health","health"
32,5,"report","diseas"
33,1,"sleep","nap"
33,2,"hour","hour"
33,3,"get","sleep"
33,4,"day","depriv"
33,5,"time","sleepi"
34,1,"case","juri"
34,2,"death","prosecutor"
34,3,"charg","murder"
34,4,"kill","testifi"
34,5,"investig","attorney"
35,1,"race","hors"
35,2,"run","race"
35,3,"ride","ride"
35,4,"hors","bike"
35,5,"mile","mile"
36,1,"govern","reagan"
36,2,"nation","govern"
36,3,"will","polit"
36,4,"polit","minist"
36,5,"countri","nation"
37,1,"can","headach"
37,2,"may","symptom"
37,3,"problem","depress"
37,4,"pain","pain"
37,5,"depress","stress"
38,1,"travel","cruis"
38,2,"trip","tour"
38,3,"tour","travel"
38,4,"includ","trip"
38,5,"cruis","tourist"
39,1,"john","kennedi"
39,2,"washington","william"
39,3,"william","john"
39,4,"robert","washington"
39,5,"georg","johnson"
40,1,"team","quarterback"
40,2,"player","coach"
40,3,"coach","player"
40,4,"season","team"
40,5,"play","game"
41,1,"american","spanish"
41,2,"countri","immigr"
41,3,"cultur","american"
41,4,"world","cultur"
41,5,"state","japanes"
42,1,"train","pilot"
42,2,"worker","worker"
42,3,"work","crew"
42,4,"union","train"
42,5,"crew","union"
43,1,"student","campus"
43,2,"colleg","student"
43,3,"univers","colleg"
43,4,"program","program"
43,5,"class","class"
44,1,"car","driver"
44,2,"drive","car"
44,3,"driver","truck"
44,4,"road","drive"
44,5,"truck","bus"
45,1,"one","bird"
45,2,"back","man"
45,3,"look","walk"
45,4,"day","smile"
45,5,"hand","back"
46,1,"children","foster"
46,2,"parent","children"
46,3,"child","parent"
46,4,"kid","child"
46,5,"famili","kid"
47,1,"research","hormon"
47,2,"studi","research"
47,3,"brain","brain"
47,4,"univers","studi"
47,5,"test","scientist"
48,1,"new","galleri"
48,2,"york","museum"
48,3,"art","art"
48,4,"street","york"
48,5,"center","street"
49,1,"night","sleeper"
49,2,"sleep","bed"
49,3,"bed","night"
49,4,"get","sleep"
49,5,"wake","bedtim"
50,1,"war","bush"
50,2,"bush","war"
50,3,"militari","militari"
50,4,"armi","soldier"
50,5,"forc","armi"
51,1,"say","usa"
51,2,"peopl","say"
51,3,"get","add"
51,4,"today","peopl"
51,5,"work","shes"
52,1,"citi","council"
52,2,"resid","citi"
52,3,"new","mayor"
52,4,"council","resid"
52,5,"will","offici"
53,1,"food","wine"
53,2,"eat","food"
53,3,"cook","restaur"
53,4,"restaur","cook"
53,5,"dinner","dinner"
54,1,"hospit","cancer"
54,2,"medic","patient"
54,3,"patient","hospit"
54,4,"doctor","medic"
54,5,"care","doctor"
55,1,"get","bat"
55,2,"like","hes"
55,3,"just","think"
55,4,"dont","dont"
55,5,"think","guy"
56,1,"light","clock"
56,2,"time","light"
