"method","topic","term_1","term_2","term_3","term_4","term_5"
"PROBABILITY",1,"sleep","disord","apnea","peopl","medic"
"PROBABILITY",2,"game","hit","run","pitch","basebal"
"PROBABILITY",3,"will","saturday","friday","sunday","church"
"PROBABILITY",4,"homeless","shelter","peopl","servic","help"
"PROBABILITY",5,"store","mattress","bed","shop","buy"
"PROBABILITY",6,"anim","cat","human","adopt","bear"
"PROBABILITY",7,"school","high","teacher","student","start"
"PROBABILITY",8,"counti","jail","prison","sheriff","offici"
"PROBABILITY",9,"babi","infant","parent","mother","birth"
"PROBABILITY",10,"hotel","room","guest","inn","rate"
"PROBABILITY",11,"room","can","design","use","space"
"PROBABILITY",12,"game","point","play","said","score"
"PROBABILITY",13,"flight","travel","airport","plane","airlin"
"PROBABILITY",14,"michael","brown","jackson","told","gari"
"PROBABILITY",15,"dream","life","one","mind","peopl"
"PROBABILITY",16,"music","song","band","perform","danc"
"PROBABILITY",17,"park","camp","summer","tent","day"
"PROBABILITY",18,"dog","pet","owner","home","put"
"PROBABILITY",19,"drink","alcohol","smoke","coffe","can"
"PROBABILITY",20,"presid","campaign","democrat","clinton","vote"
"PROBABILITY",21,"money","fund","stock","year","market"
"PROBABILITY",22,"king","goal","wilson","ice","brian"
"PROBABILITY",23,"street","black","peopl","man","block"
"PROBABILITY",24,"show","news","call","will","phone"
"PROBABILITY",25,"won","world","win","sport","olymp"
"PROBABILITY",26,"love","will","friend","husband","dear"
"PROBABILITY",27,"drug","use","medic","effect","treatment"
"PROBABILITY",28,"photo","illustr","caption","chicago","color"
"PROBABILITY",29,"film","movi","play","star","show"
"PROBABILITY",30,"hous","home","fire","live","apart"
"PROBABILITY",31,"island","water","boat","river","fish"
"PROBABILITY",32,"percent","studi","risk","health","report"
"PROBABILITY",33,"sleep","hour","get","day","time"
"PROBABILITY",34,"case","death","charg","kill","investig"
"PROBABILITY",35,"race","run","ride","hors","mile"
"PROBABILITY",36,"govern","nation","will","polit","countri"
"PROBABILITY",37,"can","may","problem","pain","depress"
"PROBABILITY",38,"travel","trip","tour","includ","cruis"
"PROBABILITY",39,"john","washington","william","robert","georg"
"PROBABILITY",40,"team","player","coach","season","play"
"PROBABILITY",41,"american","countri","cultur","world","state"
"PROBABILITY",42,"train","worker","work","union","crew"
"PROBABILITY",43,"student","colleg","univers","program","class"
"PROBABILITY",44,"car","drive","driver","road","truck"
"PROBABILITY",45,"one","back","look","day","hand"
"PROBABILITY",46,"children","parent","child","kid","famili"
"PROBABILITY",47,"research","studi","brain","univers","test"
