"topic","terms"
1,"sleep, disord, apnea, peopl, medic, insomnia, center, problem, patient, caus"
2,"game, hit, run, pitch, basebal, first, said, inning, two, manag"
3,"will, saturday, friday, sunday, church, monday, thursday, tuesday, wednesday, march"
4,"homeless, shelter, peopl, servic, help, volunt, program, center, famili, street"
5,"store, mattress, bed, shop, buy, custom, sell, product, price, design"
6,"anim, cat, human, adopt, bear, hunt, fox, will, put, food"
7,"school, high, teacher, student, start, time, later, district, grade, teen"
8,"counti, jail, prison, sheriff, offici, state, releas, facil, depart, supervisor"
9,"babi, infant, parent, mother, birth, sleep, death, cri, month, child"
10,"hotel, room, guest, inn, rate, stay, night, resort, suit, lodg"
11,"room, can, design, use, space, pillow, wall, like, look, one"
12,"game, point, play, said, score, second, first, team, shot, win"
13,"flight, travel, airport, plane, airlin, fli, seat, passeng, jet, air"
14,"michael, brown, jackson, told, gari, vega, las, jack, david, adam"
15,"dream, life, one, mind, peopl, experi, way, can, sens, person"
16,"music, song, band, perform, danc, record, play, sing, rock, album"
17,"park, camp, summer, tent, day, week, can, cabin, state, outdoor"
18,"dog, pet, owner, home, put, get, one, take, like, rescu"
19,"drink, alcohol, smoke, coffe, can, caffein, avoid, cigarett, beer, milk"
20,"presid, campaign, democrat, clinton, vote, elect, hous, senat, polit, candid"
21,"money, fund, stock, year, market, bank, pay, price, invest, will"
22,"king, goal, wilson, ice, brian, duck, mike, period, play, first"
23,"street, black, peopl, man, block, neighborhood, gun, white, one, shoot"
24,"show, news, call, will, phone, comput, televis, site, network, use"
25,"won, world, win, sport, olymp, year, competit, team, will, athlet"
26,"love, will, friend, husband, dear, want, know, tell, ask, letter"
27,"drug, use, medic, effect, treatment, take, pill, patient, doctor, aid"
28,"photo, illustr, caption, chicago, color, tribun, credit, graphic, text, sleep"
29,"film, movi, play, star, show, actor, director, charact, theater, direct"
30,"hous, home, fire, live, apart, build, move, neighbor, rent, resid"
31,"island, water, boat, river, fish, mountain, sea, town, beach, lake"
32,"percent, studi, risk, health, report, increas, peopl, year, found, american"
33,"sleep, hour, get, day, time, work, nap, need, less, minut"
34,"case, death, charg, kill, investig, murder, trial, victim, court, attorney"
35,"race, run, ride, hors, mile, track, finish, day, start, last"
36,"govern, nation, will, polit, countri, peopl, american, leader, now, organ"
37,"can, may, problem, pain, depress, caus, stress, feel, often, mani"
38,"travel, trip, tour, includ, cruis, guid, can, offer, vacat, per"
39,"john, washington, william, robert, georg, paul, johnson, richard, charl, kennedi"
40,"team, player, coach, season, play, game, said, footbal, year, last"
41,"american, countri, cultur, world, state, unit, america, immigr, english, mani"
42,"train, worker, work, union, crew, station, pilot, job, engin, safeti"
43,"student, colleg, univers, program, class, senior, graduat, year, work, educ"
44,"car, drive, driver, road, truck, stop, bus, traffic, vehicl, accid"
45,"one, back, look, day, hand, like, walk, head, eye, around"
46,"children, parent, child, kid, famili, girl, boy, -year-old, home, mother"
47,"research, studi, brain, univers, test, found, scientist, hormon, may, scienc"
48,"new, york, art, street, center, museum, manhattan, free, artist, paint"
49,"night, sleep, bed, get, wake, fall, stay, asleep, room, bedtim"
50,"war, bush, militari, armi, forc, soldier, report, command, attack, veteran"
51,"say, peopl, get, today, work, dont, doesnt, theyr, add, usa"
52,"citi, resid, new, council, will, offici, area, plan, mayor, communiti"
53,"food, eat, cook, restaur, dinner, serv, lunch, wine, meal, bar"
54,"hospit, medic, patient, doctor, care, health, cancer, center, nurs, call"
55,"get, like, just, dont, think, know, want, thing, peopl, that"
56,"light, time, day, clock, morn, shift, work, bodi, alarm, schedul"
57,"angel, los, san, time, california, valley, francisco, diego, photograph, hill"
58,"water, plant, cold, farm, winter, heat, tree, year, villag, weather"
59,"counti, orang, santa, beach, regist, ana, christma, irvin, peopl, anaheim"
60,"breath, nois, surgeri, snore, sound, can, devic, blood, use, heart"
61,"compani, million, busi, year, new, execut, industri, manag, market, product"
62,"club, play, round, open, green, golf, match, hole, year, tournament"
63,"women, men, woman, sex, male, sexual, femal, man, one, era"
64,"mark, miller, grant, howard, allen, larri, cooper, drew, tim, greg"
65,"book, write, stori, one, read, writer, novel, world, publish, life"
66,"famili, year, father, mother, son, home, work, day, friend, wife"
67,"law, state, court, rule, legal, case, lawyer, feder, right, issu"
68,"exercis, can, bodi, weight, eat, help, activ, get, diet, fit"
69,"said, polic, offic, report, two, yesterday, offici, told, found, call"
70,"smith, stephen, carolina, one, time, call, year, get, never, miss"
