"rank","doc_index","topic_probability","topic_letter","topic_number"
1,14072,0.615407510197978,"A",1
2,16365,0.527211185002654,"A",1
3,22917,0.519447694298763,"A",1
4,14578,0.50749543189781,"A",1
5,15490,0.49166751614236,"A",1
6,8790,0.476352513869418,"A",1
7,13723,0.475722949514361,"A",1
8,19464,0.471499761938163,"A",1
9,25352,0.467598248152421,"A",1
10,14423,0.462299570936474,"A",1
11,8900,0.458786476037036,"A",1
12,21940,0.455835166281627,"A",1
13,25252,0.44769327049972,"A",1
14,22636,0.439322292675137,"A",1
15,12748,0.43859068058185,"A",1
16,15030,0.432481749403359,"A",1
17,8550,0.427329317533412,"A",1
18,16775,0.415064037416683,"A",1
19,16779,0.413951864690465,"A",1
20,3289,0.413214841846712,"A",1
21,17777,0.410052198196537,"A",1
22,22198,0.40577291574081,"A",1
23,24069,0.39707927752577,"A",1
24,8890,0.395183011756135,"A",1
25,13097,0.391865708148727,"A",1
26,16367,0.388097681438924,"A",1
27,14087,0.387844889697741,"A",1
28,19197,0.384709265104393,"A",1
29,7385,0.384604803472667,"A",1
30,12789,0.382635853459487,"A",1
31,21941,0.382616080542929,"A",1
32,23913,0.38087797099235,"A",1
33,25331,0.378613279130754,"A",1
34,23802,0.376275046030999,"A",1
35,10729,0.374100048316051,"A",1
36,18859,0.373844208749631,"A",1
37,3290,0.372152524766398,"A",1
38,24085,0.370384578462483,"A",1
39,23087,0.36618130950211,"A",1
40,9715,0.36527637391426,"A",1
41,16080,0.363828764014089,"A",1
42,19653,0.363795945776961,"A",1
43,11075,0.362030873933101,"A",1
44,2414,0.361712634819384,"A",1
45,8886,0.361649861077811,"A",1
46,4640,0.361332454898991,"A",1
47,15367,0.358435833784286,"A",1
48,5789,0.356118199740406,"A",1
49,18115,0.355518166364173,"A",1
50,13082,0.355515496926655,"A",1
1,4471,0.749125326622882,"E",5
2,21073,0.672141260627129,"E",5
3,20050,0.658085808680683,"E",5
4,11201,0.655049658319103,"E",5
5,23328,0.645771485287411,"E",5
6,11177,0.596005100630298,"E",5
7,20302,0.591601046048332,"E",5
8,25720,0.587011269708861,"E",5
9,854,0.586955343410911,"E",5
10,6225,0.582911325954787,"E",5
11,10881,0.576212941449604,"E",5
12,19741,0.57560603192866,"E",5
13,17673,0.572281479656034,"E",5
14,2966,0.571186190865941,"E",5
15,12189,0.570571998878872,"E",5
16,1366,0.569011752537985,"E",5
17,1170,0.565632875989136,"E",5
18,5314,0.561740900412868,"E",5
19,20967,0.560838816618124,"E",5
20,17674,0.549931350336953,"E",5
21,18720,0.549404709644833,"E",5
22,1499,0.548361337478469,"E",5
23,9509,0.548025788376812,"E",5
24,12513,0.53816613733339,"E",5
25,22849,0.533302051724863,"E",5
26,8106,0.530160039149014,"E",5
27,7401,0.529832645294061,"E",5
28,17620,0.52855251476394,"E",5
29,20966,0.52610122693001,"E",5
30,1321,0.525323878120506,"E",5
31,5120,0.523170949122835,"E",5
32,18141,0.521101307631912,"E",5
33,2895,0.511784773377677,"E",5
34,8301,0.504864441765001,"E",5
35,411,0.499839011771455,"E",5
36,20911,0.49783699961458,"E",5
37,10882,0.49288563531511,"E",5
38,23945,0.489030765094978,"E",5
39,4869,0.488822607365605,"E",5
40,3050,0.486633216511372,"E",5
41,19021,0.482383023445732,"E",5
42,18332,0.480018304625651,"E",5
43,5624,0.476348777692023,"E",5
44,406,0.475625505918847,"E",5
45,1443,0.474292970911,"E",5
46,17391,0.457878398676502,"E",5
47,13395,0.457120559698438,"E",5
48,15158,0.455208552682708,"E",5
49,13751,0.454777561406255,"E",5
50,12985,0.453765740119911,"E",5
1,24548,0.848421910241662,"G",7
2,24549,0.848421910241662,"G",7
3,15197,0.746294812842317,"G",7
4,24604,0.727428375316906,"G",7
5,24386,0.706144155004548,"G",7
6,24457,0.686995362163208,"G",7
7,24093,0.686913187662384,"G",7
8,16589,0.678841089576287,"G",7
9,24096,0.669366491713347,"G",7
10,24415,0.669032011678409,"G",7
11,24414,0.667746512745958,"G",7
12,24239,0.667633180933576,"G",7
13,24050,0.666619724426934,"G",7
14,24461,0.665737358651149,"G",7
15,24489,0.664016671170832,"G",7
16,24029,0.663656697136205,"G",7
17,24732,0.661758712251478,"G",7
18,24463,0.659899167040071,"G",7
19,24691,0.657900406533685,"G",7
20,23381,0.651079740763566,"G",7
21,12508,0.650870106208314,"G",7
22,24213,0.650199656324567,"G",7
23,24736,0.641356866800356,"G",7
24,24737,0.641356866800356,"G",7
25,24378,0.640065200075734,"G",7
26,24375,0.634609228862904,"G",7
27,25226,0.627562331138932,"G",7
28,24453,0.622939918923191,"G",7
29,19333,0.622558504150439,"G",7
30,19334,0.622558504150439,"G",7
31,23386,0.622314376862732,"G",7
32,21797,0.619619269672298,"G",7
33,15106,0.619320936690283,"G",7
34,19838,0.618474827624033,"G",7
35,24083,0.616039619584723,"G",7
36,23643,0.614006263546127,"G",7
37,24411,0.594454848710313,"G",7
38,13068,0.590404872241136,"G",7
39,24699,0.58643908593678,"G",7
40,25149,0.585814560051775,"G",7
41,20727,0.584935143753271,"G",7
42,24531,0.578973292588324,"G",7
43,23750,0.57883733631277,"G",7
44,24605,0.578375425665332,"G",7
45,14741,0.578012032375264,"G",7
46,12472,0.558054266106658,"G",7
47,8387,0.557644906933587,"G",7
48,24325,0.55636061198765,"G",7
49,25023,0.555263237559194,"G",7
50,18706,0.554577346550066,"G",7
1,19558,0.730954332750302,"I",9
2,23417,0.726459977593339,"I",9
3,24885,0.646211765657425,"I",9
4,11956,0.644135054468313,"I",9
5,19569,0.632379411911974,"I",9
6,25478,0.6298736356886,"I",9
7,10322,0.611768898411201,"I",9
8,16042,0.599330605176696,"I",9
9,24902,0.590996066823545,"I",9
10,19557,0.57799755537328,"I",9
11,11715,0.573485118819353,"I",9
12,14173,0.562547269497468,"I",9
13,20461,0.555119074281222,"I",9
14,14218,0.552087277436475,"I",9
15,16778,0.54533446504082,"I",9
16,7419,0.537637095207137,"I",9
17,11712,0.53112573602249,"I",9
18,19583,0.528598089831541,"I",9
19,17891,0.524573821159156,"I",9
20,19562,0.519655612468714,"I",9
21,17523,0.51949634533383,"I",9
22,23952,0.517470854275716,"I",9
23,13044,0.517362063461222,"I",9
24,23178,0.5133851812253,"I",9
25,8812,0.512218819892304,"I",9
26,25476,0.511255686426486,"I",9
27,19584,0.498811173871824,"I",9
28,14259,0.496373966691834,"I",9
29,7417,0.493874371136675,"I",9
30,14923,0.49277050671373,"I",9
31,9764,0.49273537293848,"I",9
32,14275,0.489786560398984,"I",9
33,7435,0.489565140810187,"I",9
34,10688,0.481897134165778,"I",9
35,13423,0.477146308405748,"I",9
36,23864,0.471502245455574,"I",9
37,25021,0.470814689021695,"I",9
38,20355,0.470379263856286,"I",9
39,13358,0.469058355882104,"I",9
40,25189,0.466716578167751,"I",9
41,10552,0.466473702800059,"I",9
42,22137,0.465702473732912,"I",9
43,23405,0.4604276621187,"I",9
44,13154,0.460301038158063,"I",9
45,3381,0.457700358184313,"I",9
46,15570,0.457014927578777,"I",9
47,17080,0.456357475203993,"I",9
48,14858,0.456093652737076,"I",9
49,9282,0.45372543939284,"I",9
50,11228,0.450751788053871,"I",9
1,22738,0.810543622241736,"K",11
2,7421,0.793751890469935,"K",11
3,5851,0.780124047114621,"K",11
4,4822,0.730349675148736,"K",11
5,22716,0.71776810363012,"K",11
6,25020,0.70241486058853,"K",11
7,20404,0.683182559962337,"K",11
8,4709,0.682313339470235,"K",11
9,5028,0.633546330710695,"K",11
10,25100,0.627322887664955,"K",11
11,798,0.625059822640943,"K",11
12,1815,0.601033422846639,"K",11
13,22554,0.59484589286241,"K",11
14,24891,0.579907526803095,"K",11
15,16258,0.572256994124329,"K",11
16,128,0.564543588959525,"K",11
17,25680,0.557448374194033,"K",11
18,4181,0.55078327821646,"K",11
19,25057,0.539635462943982,"K",11
20,22586,0.539456868862242,"K",11
21,17128,0.539046924946598,"K",11
22,9555,0.533204831711425,"K",11
23,22607,0.528581261150466,"K",11
24,1160,0.52614851938573,"K",11
25,13839,0.523413002273813,"K",11
