"","X","Full.text","Year","Publication"
"9692",9692," Last year, the National Commission on Sleep Disorders Research documented that ""the American sleep debt""-the chronic scrimping on sleep-affects millions of people. Now, a survey conducted in January 1994 by the Bruskin/Goldring organization of 1,000 American adults indicates that more than half of all adults (53%) don't think they get enough sleep. Q. Do you think you get more or less sleep than you need? More ....................16% Less ....................53% Just the right amount ...28% Don't know/No response ...2% Q. Do you think sleep loss is bad for your health? Yes .....................75% No ......................21% Don't know/No response ...4% Q. What is the main consequence, for you, of not getting enough sleep? Loss of energy ..........48% Crankiness ..............20% Less alert ..............10% Less productive ..........8% Other ....................5% Don't know/no response ...9% Q. How much sleep do you average on weeknights? Less than 5 hours ........8% 5-6 hours ...............19% 6-7 hours ...............30% 7-8 hours ...............22% 8 hours or more .........19% Don't know/no response ...2% Q. How much sleep do you average on weekend nights? Less than 5 hours ........6% 5-6 hours ...............11% 6-7 hours ...............21% 7-8 hours ...............23% 8 hours or more .........37% Don't know/No response ...1% SOURCE: Bruskin/Goldring Research for the Better Sleep Council Illustration INFO-GRAPHIC ",1994,"The Washington Post (pre-1997 Fulltext); Washington, D.C."
"12861",12861," 愼㸰 A look at statistics that shape the nation Clocks spring forward one hour at 2 a.m. Sunday for Daylight-saving time(1), cutting the night by an hour. Average sleep hours for adults: Work week Weekend Under 6 hours 12% 8% 6-6.5 hours 19% 12% 6.5-7 hours 4% 2% 7-7.5 hours 24% 19% 7.5-8 hours 4% 3% Over 8 hrs. 35% 53% 1 -- Except in Arizona, Hawaii and most of Indiana Illustration GRAPHIC,color,Anne R. Carey and Quin Tian,USA TODAY,Source:National Sleep Foundation(Bar graph) ",1998,"USA TODAY; McLean, Va."
"13752",13752," 愼㸰 USA TODAY SLEEP HOT LINE; Sleepless in America It's no wonder people in this country are short on sleep: They don't cultivate good sleep habits. Among the findings released Wednesday of a National Sleep Foundation poll of 1,014 adults: * 40% say they are so sleepy during the day that it interferes with their daily activities. * A third of adults do not keep a regular sleep schedule -- that is, they don't go to bed and get up at the same time every day, which sleep doctors recommend. * 21% drink a caffeinated beverage at night, which experts advise against. These bad habits are contributing to a sleep-deprived America, experts say. The poll shows that adults fall far short of their recommended daily sleep allowance: * The average adult sleeps six hours and 58 minutes during the workweek -- an hour less than the eight hours recommended by sleep experts. * 30% of adults usually sleep 6 1/2 hours per night or less during the workweek. * Only 35% of adults sleep the recommended eight hours per night during the workweek. What do people do to solve their sleep problems? * A quarter of adults have taken a medication to help them sleep during the past year (29% of women; 19% of men). * Of those who take sleeping medications, 53% take only over-the-counter sleep aids; 38% take only prescription medications; 9% take both types. * 38% of adults nap at least once during the workweek. * The average nap is one hour during the workweek and one hour and 15 minutes on the weekends. Kids also are tired: * 60% of children have complained of being tired during the day. Teen-agers complained more than younger children. * 15% of children told their parents that they had fallen asleep at school during the past year. ",1999,"USA TODAY; McLean, Va."
"12709",12709," 愼㸰 Every Tuesday: Discoveries, breakthroughs and trends; See related stories: 06D Many busy people argue that with demanding jobs, commuting and family obligations there simply isn't time to sleep eight hours a night. Are they doomed? It depends on whom you ask. There are some experts who argue that eight hours of sleep a night may not really be necessary. Jim Horne, with the sleep research laboratory at Loughborough University in England, says many people do very well on seven to 7 hours a night. ""I don't think the evidence is strong enough (to support sleeping eight hours). Most adults in the U.S. who sleep seven to 7 hours do not suffer from excessive sleepiness in the daytime,"" he says. ""They may have a dip in the afternoon, but it's not necessary for them to sleep another hour or an hour and a half during the night. They should just take a short sleep in the afternoon."" Horne also disagrees with researchers who say if you need an alarm clock to get up you haven't had enough sleep. ""A lot of people wake up just before the alarm. They use it to reassure themselves they'll get up on time rather than to wake themselves up."" Studies in his laboratory showed that people were able to extend their sleeping time from seven or 7 hours to nine or 9 hours. But, he says, ""just saying they can take nine hours of sleep doesn't mean they need it. We can drink fluids without being thirsty. We can eat foods without being hungry."" ",1998,"USA TODAY; McLean, Va."
"22277",22277," Bob and Shari Buelt's waterfront home is a study in elegance. The floors are gleaming mahogany, tasteful paintings decorate the kitchen walls and each room has a wonderful view of Budd Inlet in Olympia. And the home rocks everyone to sleep at night. The Buelts and their two daughters, Sydney and Annie, live aboard S/V Pearl, the family's 49-foot-long sailboat. ""It's just a simpler life, and we don't have to pack when we go on vacation. We take our home on vacation with us,"" Shari Buelt said. Life for liveaboards is simpler by design, and that includes simpler finances. A home mortgage -- and property taxes -- are history, although some liveaboards do have boat mortgages. Liveaboards do pay for utilities, but their waste-water pumpout is included in their slip rental. Swantown monthly slip rental varies from $5.76 per foot of boat to $7.58 per foot, plus a nearly 13 percent tax -- creating an often smaller bottom line. And liveaboards don't have a lot of room, so they don't spend much on furniture or anything else that could create clutter. Bob and Shari Buelt lived in a nice Portland, Ore., neighborhood, but they dreamed of living on a boat and cruising to the South Pacific. Living the dream meant selling their home, furniture and most of the stuff that people collect over a lifetime, buying their boat, and moving to Swantown Marina. Eventually, that also means making that dream cruise a reality. ""Mexico, Hawaii and New Zealand,"" said Sydney with a big smile. At Swantown Marina, Lester and Meridee Marsh live aboard their 42-foot Chris-Craft. ""I paid $1,500 for a small 28-foot boat on a Monday, and we cleaned it up that Tuesday, Wednesday and Thursday,"" Marsh said. ""Then we decided to stay the weekend, and we didn't want to go home."" They sold the house and made that little boat home for four years. Then Lester bought a 50-foot retired U.S. Navy launch, and the couple made it home until the Chris-Craft floated into their lives. Being close to nature and being rocked to sleep every night -- along with no more lawn mowing -- are just a few of the pleasures, Marsh said. ""But you also get to know the best people,"" Marsh said. ""I lived in a house in Tacoma for 22 years, and I knew one neighbor. ""Down here, I know dozens of people, and I talk to them every day."" Credit: By Chester Allen, MCCLATCHY/TRIBUNE NEWSPAPERS Illustration Caption: Photo (color): Lester and Meridee Marsh say they love living on their 42-foot boat at Swantown Marina in Olympia, Wash., where they know many neighbors. STEVE BLOOM/THE OLYMPIAN PHOTO ",2009,"Chicago Tribune; Chicago, Ill."
"17595",17595," Napping on the job (or elsewhere) may have many benefits, but perhaps a more important issue is why so many people apparently need that afternoon snooze (""As Bosses Nap, Cubicle Dwellers Doze Under Clever Disguise,"" Cubicle Culture, July 23). In this country, one obvious reason for napping is that millions of Americans are sleep deprived. In fact, according to a recent National Sleep Foundation poll, one-quarter of American adults say they don't get the minimum amount of sleep they need to be alert the next day. The result is what appears to be an epidemic of daytime sleepiness that can affect cognition, performance, and even mood and behavior. While you correctly point out that napping can restore alertness, it cannot replace a good night's sleep, which for most adults means seven to nine hours of uninterrupted sleep. For some, a daytime nap can impede nighttime sleep. Daytime sleepiness and the resulting need to nap could be a sign of insufficient sleep or an untreated sleep disorder that may be undermining health. It is worth discussing with a physician or other health-care provider. Richard L. Gelula Executive Director National Sleep Foundation Washington ",2003,"Wall Street Journal, Eastern edition; New York, N.Y."
"14561",14561," 愼㸰 Sleepless in America: A better Life: Health, education & science A good night's sleep improves memory and learning, according to research out this month. A study out last fall showed that sleep loss mimics some of the effects of aging, suggesting that sleep loss may increase the severity of age-related diseases such as obesity, diabetes and hypertension. Those findings add to a growing body of evidence on the benefits of getting enough sleep. For years, sleep researchers have touted the mental and physical rewards of shut-eye. They say that getting enough sleep makes people more alert and productive and puts them in better moods. And they say tired kids are more likely to fall asleep in school, and worn-out adults can drift off at a cocktail party or business meeting or even while driving a car. ""Sleep deprivation makes you stupid,"" says pioneer sleep researcher William Dement, author of The Promise of Sleep with Christopher Vaughan (Dell, $14.95). When you are tired or sleep- deprived, the brain tries to go to sleep. ""It's not trying to pay attention and be brilliant; it's trying to go to sleep. It's astounding to me how many people don't do anything about it."" Most people need seven to nine hours of sleep a night, experts say. But people, on average, are getting a little less than seven hours, research shows. ""If you get drowsy or sleepy at any time during the day, you are by definition sleep-deprived,"" says Dement, of Stanford University. Those people who get less sleep than the body needs build what experts call a sleep debt. The debt accumulates over time and takes a toll on people's motor and intellectual functions. Sleep debt cannot be ignored indefinitely, Dement says. ""Sleep debt is always driving the brain toward sleep."" Even a little sleep debt can affect people. ""You can show the effects of two hours of sleep loss on human performance,"" says Thomas Roth, head of the division of sleep medicine at Henry Ford Hospital in Detroit. If you have a sleep debt of 10 hours or more, your performance is going to be impaired, and ""I don't want you driving a school bus or flying a 747 across the Atlantic,"" Roth says. For optimal functioning, it's best to get enough sleep every night. But if you can't, experts say, you should try to make up for the sleep loss as soon as you can. Many people try to catch up on lost shut-eye by sleeping in on the weekends or taking naps. Often that only makes a small dent in a large sleep debt, Dement says. He says people who need an alarm clock to wake up on time often are jolted out of a deep sleep because the brain is not ready to wake up. ""Whoever invented the snooze button understood that it takes a barrage of wake-up calls to rouse the severely sleep-deprived."" TEXT OF INFO BOX BEGINS HERE A week of stories you won't snore through Today and next week, National Sleep Week, USA TODAY takes an in- depth look at why people don't get all the sleep they need. Today * Not getting enough sleep is dangerous to your mental and physical health. * How much sleep do you really need? * Submit your sleep questions online to sleep.usatoday.com. A selection of questions will be answered next week by national sleep experts. Monday * Many Americans are suffering from sleep problems such as insomnia, sleep apnea and narcolepsy. What are the latest treatments? * Assess your sleep habits to see if you're doing the most you can to get a good night's sleep. Tuesday * Call USA TODAY's sleep hotline and talk to an expert with the National Sleep Foundation. * Scientists are discovering that there are benefits to keeping a regular sleep schedule. A look at what happens when you don't go to bed and get up at about the same time every day. * What travelers can do to prevent jet lag. * Teens are skimping on sleep, staying up late and getting up early, and it's taking a toll. Wednesday * The most popular questions and answers from USA TODAY's sleep hotline and online queries. * Places you can go for sleep help on the Internet. TEXT WITHIN GRAPHIC BEGINS HERE How much is enough? Sleep needs vary by age and from person to person, but here are some general nightly guidelines: Toddlers: 11 hours Plus a two-hour nap during the day. Preschoolers: 11-12 hours Half of preschoolers also nap during the day School-age children: About 10 hours Teens: Average of 9 1/4 hours Studies show that most get less than that. Adults: Generally 8 hours Or more -- needs vary. The average adult gets six hours, 54 minutes on weeknights, seven hours, 34 minutes on weekend. Illustration GRAPHIC, B/W, Suzy Parker, USA TODAY, Sources: National Sleep Foundation; sleep researchers; PHOTO, B/W, Marion Ettinger; GRAPHIC, B/W; Caption: Dement: Stanford researcher is alert to the problems of the sleep-deprived. ",2000,"USA TODAY; McLean, Va."
"15487",15487," 愼㸰 People say they are sleeping less and having sex less than they did five years ago, according to a poll out today from the National Sleep Foundation. The poll of 1,004 adults found: * 38% say they spend less time sleeping than they did five years ago. * 52% say they spend less time having sex than they did five years ago; 38% say they have sex less than once a week. The poll says that those having sex four or more times a week are more likely to experience symptoms of insomnia during the week than those having sex less often. * 63% of American adults do not get the recommended eight hours of sleep needed for good health, safety and optimum performance; 31% report sleeping less than seven hours each night. ",2001,"USA TODAY; McLean, Va."
"15502",15502," Kindergartners do it. And apparently so does President George W. Bush. They all take a midday nap. Bush recently quipped to reporters that he was going to answer questions, then ""head on home and take a nap."" There's no way of telling if the president's mini-shut-eyes are going make napping at work more popular or acceptable. But there's little doubt that for some people--including Bush-- taking a midday nap is a good thing, sleep specialists say. It's a good way to recharge human batteries, they say. Unfortunately, American society still undervalues naps, and napping at work is often misunderstood as laziness. Here's what you should know about midday naps, according to the National Sleep Foundation and ""The Promise of Sleep"" by William Dement and Christopher Vaughan (DTP, $14.95). Our bodies are more likely to nap after lunch and during the midday hours. A 15- to 20-minute nap can improve alertness, sharpen memory and generally reduce the symptoms of fatigue. Some people may need more or less time. A nap is not a substitute for a full night's sleep; it is only a short-term solution. If you're coping with the effect of lost sleep or you know you're going to lose sleep tonight, a nap can help. It could spell the difference between life and death if you're sleep-deprived and planning on a long drive. If getting to sleep or staying asleep at night is a problem, naps are probably not for you. There's a history of napping presidents. According to Dement, Lyndon Johnson was a dedicated napper, donning pajamas and sleeping half an hour. ",2001,"Chicago Tribune; Chicago, Ill."
"17559",17559," QUALITIES OF LIFE. What does today's mom need more than anything? A nap. According to a National Sleep Foundation survey, almost three out of four women between the ages of 30 and 60 do not get eight or more hours of sleep per night during the workweek. The average woman gets a little more than 6 1/2 hours of sleep per night. Almost three out of four American mothers working outside the home agree that ""feeling tired all the time is a problem in their lives,"" according to the study. ",2003,"Chicago Tribune; Chicago, Ill."
