"word","degree","betweenness","closeness","eigenvector","pagerank","topic"
"say",19,0,0.000371100998066369,0.772344210766883,0.0506297660099426,"Topic 5"
"get",19,0,0.000312535982761173,0.915207929079754,0.0592183553387269,"Topic 5"
"can",19,0,0.00033727411509923,0.847648232291884,0.0550650083930731,"Topic 5"
"dont",19,0,0.000404040404040404,0.709837201364504,0.0471100668675074,"Topic 5"
"like",19,0,0.000311047082705782,0.91767302839949,0.0593980669969549,"Topic 5"
"peopl",19,0,0.000373090366414012,0.769782222340628,0.0503863767053872,"Topic 5"
"just",19,0,0.000331264383848246,0.863061346097462,0.056028614839723,"Topic 5"
"think",19,0,0.000444652468991341,0.647004795939344,0.0434688951431391,"Topic 5"
"make",19,0,0.000360907968468041,0.793751496122672,0.0518530381020386,"Topic 5"
"thing",19,0,0.00044780692450918,0.643006745415585,0.0432109374152365,"Topic 5"
"want",19,0,0.000410881882271528,0.699771092144586,0.0464334133035326,"Topic 5"
"know",19,0,0.000421033970793538,0.682722188273155,0.0454953896794638,"Topic 5"
"will",19,0,0.000340440781222003,0.844206763428972,0.054764833437388,"Topic 5"
"time",19,0,0.000297083887108123,0.967586166468649,0.0624200375204567,"Topic 5"
"take",19,0,0.00038769971636705,0.74161954054914,0.0487630463305481,"Topic 5"
"one",19,0,0.000288609056248386,1,0.0644893768105816,"Topic 5"
"good",19,0,0.000432240598766977,0.666867834017158,0.0444938706571592,"Topic 5"
"that",19,0,0.000558298072402445,0.517661529653095,0.03610779365653,"Topic 5"
"feel",19,0.0584795321637427,0.00059579805581687,0.48566007653355,0.0342957527243796,"Topic 5"
"way",19,0,0.000411540460925316,0.699156433619467,0.0463673600682311,"Topic 5"
"say",19,0,0.00038301818328428,0.796490463550832,0.0520288357493924,"Topic 15"
"get",19,0,0.00033144352376799,0.947787429655145,0.061200171180471,"Topic 15"
"can",19,0,0.000333760781351556,0.95519591576471,0.0615654554613665,"Topic 15"
"dont",19,0,0.000414684185254703,0.72890191436299,0.0482349683845736,"Topic 15"
"like",19,0,0.000344059540408888,0.901196370423938,0.0583604154374717,"Topic 15"
"peopl",19,0,0.000383435582822086,0.810289326083104,0.0526706653602864,"Topic 15"
"just",19,0,0.000372410278523687,0.818767867558562,0.0534259961169804,"Topic 15"
"think",19,0,0.000493352721229747,0.615038884989047,0.0417076308097385,"Topic 15"
"make",19,0,0.000371667220907259,0.826110442816488,0.0537995191920609,"Topic 15"
"thing",19,0,0.000511027434104357,0.594302596810911,0.0405187801444921,"Topic 15"
"want",19,0,0.000496913903127942,0.611485699372368,0.041453730316962,"Topic 15"
"know",19,0,0.000485908649173955,0.624168579628651,0.0422371794546506,"Topic 15"
